x,y,z
0.55,0.11499999999999994,0.7475
0.55,0.11499999999999994,0.7875000000000001
0.55,0.11499999999999994,0.8075000000000001
0.55,0.09499999999999993,0.8150000000000001
0.55,0.07499999999999993,0.8150000000000001
0.55,0.054999999999999924,0.8150000000000001
0.55,0.03499999999999992,0.8150000000000001
0.55,0.014999999999999916,0.8150000000000001
0.55,-0.02500000000000009,0.8150000000000001
0.55,-0.04500000000000008,0.8150000000000001
0.55,-0.0650000000000001,0.8150000000000001
0.55,-0.08500000000000012,0.8150000000000001
0.55,-0.10500000000000011,0.8150000000000001
0.55,-0.11499999999999994,0.795
0.55,-0.11499999999999994,0.775
0.55,-0.11499999999999994,0.735
0.55,-0.11499999999999994,0.715
0.55,-0.11499999999999994,0.695
0.55,-0.11499999999999994,0.6749999999999999
0.55,-0.11499999999999994,0.6549999999999999
0.55,-0.11499999999999994,0.6349999999999999
0.55,-0.07249999999999993,0.6275
0.55,-0.05249999999999992,0.6275
0.55,-0.03249999999999992,0.6275
0.55,-0.012499999999999914,0.6275
0.55,0.00750000000000009,0.6275
0.55,0.027500000000000094,0.6275
0.55,0.0475000000000001,0.6275
0.55,0.06750000000000009,0.6275
0.55,0.07249999999999993,0.6699999999999999
0.55,0.07249999999999993,0.69
0.55,0.07249999999999993,0.71
0.55,0.07249999999999993,0.73
0.55,0.07249999999999993,0.75
0.55,0.07249999999999993,0.77
0.55,0.05249999999999992,0.7725000000000001
0.55,0.03249999999999992,0.7725000000000001
0.55,-0.00750000000000009,0.7725000000000001
0.55,-0.027500000000000094,0.7725000000000001
0.55,-0.0475000000000001,0.7725000000000001
0.55,-0.0675000000000001,0.7725000000000001
0.55,-0.07249999999999993,0.7525000000000001
0.55,-0.07249999999999993,0.7325
0.55,-0.07249999999999993,0.7125
0.55,-0.07249999999999993,0.6925
0.55,-0.07249999999999993,0.6725
0.55,-0.029999999999999923,0.6699999999999999
0.55,-0.009999999999999922,0.6699999999999999
0.55,0.010000000000000078,0.6699999999999999
0.55,0.030000000000000075,0.6699999999999999
0.55,0.029999999999999923,0.7124999999999999
0.55,0.029999999999999923,0.7324999999999999
0.55,0.009999999999999922,0.7300000000000001
0.55,-0.010000000000000078,0.7300000000000001
0.55,-0.03000000000000008,0.7300000000000001
0.55,-0.029999999999999923,0.7100000000000001
