surface,time_s,waypoint_index,x,y,z,force_n,speed_m_s,mode,event
mirror,10.750000000000018,33,0.55,0.13749999999999982,0.45749999999999996,5.999999999999998,0.14624573100687452,force,track
mirror,10.800000000000018,33,0.55,0.13749999999999982,0.45749999999999996,5.999999999999998,0.1480174185731796,force,track
mirror,10.85000000000002,34,0.55,0.17749999999999985,0.45749999999999996,5.999999999999998,0.14029117732657778,force,track
mirror,10.90000000000002,34,0.55,0.17749999999999985,0.45749999999999996,5.999999999999998,0.14213328387011323,force,track
mirror,10.95000000000002,34,0.55,0.17749999999999985,0.45749999999999996,5.999999999999998,0.1442017382833268,force,track
mirror,11.000000000000021,34,0.55,0.17749999999999985,0.45749999999999996,5.999999999999998,0.14624573100687452,force,track
mirror,11.050000000000022,34,0.55,0.17749999999999985,0.45749999999999996,5.999999999999998,0.1480174185731796,force,track
mirror,11.100000000000023,34,0.55,0.17749999999999985,0.45749999999999996,5.999999999999998,0.1493019757605878,force,track
mirror,11.150000000000023,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14213328387011323,force,track
mirror,11.200000000000024,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1442017382833268,force,track
mirror,11.250000000000025,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14624573100687452,force,track
mirror,11.300000000000026,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1480174185731796,force,track
mirror,11.350000000000026,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1493019757605878,force,track
mirror,11.400000000000027,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14994364413416922,force,track
mirror,11.450000000000028,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14986461846844007,force,track
mirror,11.500000000000028,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1490744809868576,force,track
mirror,11.55000000000003,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14766903947339366,force,track
mirror,11.60000000000003,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1458187101404742,force,track
mirror,11.65000000000003,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14374785388368697,force,track
mirror,11.700000000000031,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14170757149689597,force,track
mirror,11.750000000000032,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.13994525655237403,force,track
mirror,11.800000000000033,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.138674597798511,force,track
mirror,11.850000000000033,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.13804966842159364,force,track
mirror,11.900000000000034,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.13814624396719105,force,track
mirror,11.950000000000035,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.13895261420863342,force,track
mirror,12.000000000000036,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14037100306556227,force,track
mirror,12.050000000000036,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14222942440093142,force,track
mirror,12.100000000000037,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14430253612684085,force,track
mirror,12.150000000000038,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14633896396347826,force,track
mirror,12.200000000000038,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1480917817204088,force,track
mirror,12.250000000000039,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1493484522266812,force,track
mirror,12.30000000000004,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14995659843501544,force,track
mirror,12.35000000000004,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1498424798358046,force,track
mirror,12.400000000000041,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1490199338312163,force,track
mirror,12.450000000000042,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14758869788688342,force,track
mirror,12.500000000000043,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14572231590796636,force,track
mirror,12.550000000000043,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1436470952468097,force,track
mirror,12.600000000000044,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1416146659012714,force,track
mirror,12.650000000000045,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.13987146922645022,force,track
mirror,12.700000000000045,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.13862887579308192,force,track
mirror,12.750000000000046,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.13803755573896404,force,track
mirror,12.800000000000047,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1381692093255368,force,track
mirror,12.850000000000048,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1390078729532046,force,track
mirror,12.900000000000048,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14045185482080924,force,track
mirror,12.950000000000049,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14232606552168986,force,track
mirror,13.00000000000005,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.14440324843515284,force,track
mirror,13.05000000000005,35,0.55,0.24249999999999997,0.7399999999999995,5.999999999999998,0.1464315356312721,force,track
mirror,13.100000000000051,36,0.55,0.24249999999999997,0.7599999999999995,5.999999999999998,0.1442017382833268,force,track
mirror,13.150000000000052,36,0.55,0.24249999999999997,0.7599999999999995,5.999999999999998,0.14624573100687452,force,track
mirror,13.200000000000053,36,0.55,0.24249999999999997,0.7599999999999995,5.999999999999998,0.1480174185731796,force,track
mirror,13.250000000000053,37,0.55,0.24249999999999997,0.7799999999999994,5.999999999999998,0.14624573100687452,force,track
mirror,13.300000000000054,37,0.55,0.24249999999999997,0.7799999999999994,5.999999999999998,0.1480174185731796,force,track
mirror,13.350000000000055,37,0.55,0.24249999999999997,0.7799999999999994,5.999999999999998,0.1493019757605878,force,track
mirror,13.400000000000055,38,0.55,0.24249999999999997,0.8199999999999994,5.999999999999998,0.1480174185731796,force,track
mirror,13.450000000000056,38,0.55,0.24249999999999997,0.8199999999999994,5.999999999999998,0.1493019757605878,force,track
mirror,13.500000000000057,38,0.55,0.24249999999999997,0.8199999999999994,5.999999999999998,0.14994364413416922,force,track
mirror,13.550000000000058,38,0.55,0.24249999999999997,0.8199999999999994,5.999999999999998,0.14986461846844007,force,track
mirror,13.600000000000058,38,0.55,0.24249999999999997,0.8199999999999994,5.999999999999998,0.1490744809868576,force,track
mirror,13.650000000000059,38,0.55,0.24249999999999997,0.8199999999999994,5.999999999999998,0.14766903947339366,force,track
mirror,13.70000000000006,39,0.55,0.24249999999999997,0.8399999999999993,5.999999999999998,0.1493019757605878,force,track
mirror,13.75000000000006,39,0.55,0.24249999999999997,0.8399999999999993,5.999999999999998,0.14994364413416922,force,track
mirror,13.800000000000061,39,0.55,0.24249999999999997,0.8399999999999993,5.999999999999998,0.14986461846844007,force,track
mirror,13.850000000000062,40,0.55,0.24249999999999997,0.8599999999999992,5.999999999999998,0.14994364413416922,force,track
mirror,13.900000000000063,40,0.55,0.24249999999999997,0.8599999999999992,5.999999999999998,0.14986461846844007,force,track
mirror,13.950000000000063,40,0.55,0.24249999999999997,0.8599999999999992,5.999999999999998,0.1490744809868576,force,track
mirror,14.000000000000064,41,0.55,0.24249999999999997,0.8799999999999992,5.999999999999998,0.14986461846844007,force,track
mirror,14.050000000000065,41,0.55,0.24249999999999997,0.8799999999999992,5.999999999999998,0.1490744809868576,force,track
mirror,14.100000000000065,41,0.55,0.24249999999999997,0.8799999999999992,5.999999999999998,0.14766903947339366,force,track
mirror,14.150000000000066,42,0.55,0.24249999999999997,0.8999999999999992,5.999999999999998,0.1490744809868576,force,track
mirror,14.200000000000067,42,0.55,0.24249999999999997,0.8999999999999992,5.999999999999998,0.14766903947339366,force,track
mirror,14.250000000000068,42,0.55,0.24249999999999997,0.8999999999999992,5.999999999999998,0.1458187101404742,force,track
mirror,14.300000000000068,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.14766903947339366,force,track
